Collection_Date,Positives,7-Day Average
07/01/2021,91,91
07/02/2021,90,90.5
07/03/2021,70,83.7
07/04/2021,23,68.5
07/05/2021,71,69
07/06/2021,135,80
07/07/2021,131,87.3
07/08/2021,131,93
07/09/2021,135,99.42857143
07/10/2021,119,106.4285714
07/11/2021,67,112.7142857
07/12/2021,167,126.4285714
07/13/2021,141,127.2857143
07/14/2021,175,133.5714286
07/15/2021,186,141.4285714
07/16/2021,161,145.1428571
07/17/2021,117,144.8571429
07/18/2021,67,144.8571429
07/19/2021,283,161.4285714
07/20/2021,252,177.2857143
07/21/2021,251,188.1428571
07/22/2021,278,201.2857143
07/23/2021,271,217
07/24/2021,252,236.2857143
07/25/2021,111,242.5714286
07/26/2021,433,264
07/27/2021,375,281.5714286
07/28/2021,387,301
07/29/2021,468,328.1428571
07/30/2021,457,354.7142857
07/31/2021,346,368.1428571
08/01/2021,125,370.1428571
08/02/2021,670,404
08/03/2021,591,434.8571429
08/04/2021,660,473.8571429
08/05/2021,689,505.4285714
08/06/2021,668,535.5714286
08/07/2021,510,559
08/08/2021,214,571.7142857
08/09/2021,885,602.4285714
08/10/2021,777,629
08/11/2021,771,644.8571429
08/12/2021,653,639.7142857
08/13/2021,563,624.7142857
08/14/2021,473,619.4285714
08/15/2021,199,617.2857143
08/16/2021,950,626.5714286
08/17/2021,731,620
08/18/2021,651,602.8571429
08/19/2021,681,606.8571429
08/20/2021,644,618.4285714
08/21/2021,503,622.7142857
08/22/2021,187,621
08/23/2021,887,612
08/24/2021,757,615.7142857
08/25/2021,666,617.8571429
08/26/2021,701,620.7142857
08/27/2021,679,625.7142857
08/28/2021,515,627.4285714
08/29/2021,211,630.8571429
08/30/2021,833,623.1428571
08/31/2021,677,611.7142857
09/01/2021,632,606.8571429
09/02/2021,655,600.2857143
09/03/2021,576,585.5714286
09/04/2021,465,578.4285714
09/05/2021,192,575.7142857
09/06/2021,370,509.5714286
09/07/2021,953,549
09/08/2021,705,559.4285714
09/09/2021,752,573.2857143
09/10/2021,599,576.5714286
09/11/2021,429,571.4285714
09/12/2021,155,566.1428571
09/13/2021,815,629.7142857
09/14/2021,581,576.5714286
09/15/2021,540,553
09/16/2021,576,527.8571429
09/17/2021,449,506.4285714
09/18/2021,356,496
09/19/2021,145,494.5714286
09/20/2021,663,472.8571429
09/21/2021,590,474.1428571
09/22/2021,589,481.1428571
09/23/2021,565,479.5714286
09/24/2021,515,489
09/25/2021,409,496.5714286
09/26/2021,132,494.7142857
09/27/2021,693,499
09/28/2021,519,488.8571429
09/29/2021,526,479.8571429
09/30/2021,512,472.2857143
10/01/2021,532,474.7142857
10/02/2021,392,472.2857143
10/03/2021,137,473
10/04/2021,646,466.2857143
10/05/2021,465,458.5714286
10/06/2021,521,457.8571429
10/07/2021,461,450.5714286
10/08/2021,417,434.1428571
10/09/2021,318,423.5714286
10/10/2021,106,419.1428571
10/11/2021,550,405.4285714
10/12/2021,436,401.2857143
10/13/2021,471,394.1428571
10/14/2021,426,389.1428571
10/15/2021,419,389.4285714
10/16/2021,333,391.5714286
10/17/2021,127,394.5714286
10/18/2021,630,406
10/19/2021,431,405.2857143
10/20/2021,448,402
10/21/2021,442,404.2857143
10/22/2021,460,410.1428571
10/23/2021,308,406.5714286
10/24/2021,110,404.1428571
10/25/2021,533,390.2857143
10/26/2021,447,392.5714286
10/27/2021,469,395.5714286
10/28/2021,431,394
10/29/2021,376,382
10/30/2021,290,379.4285714
10/31/2021,102,378.2857143
11/01/2021,476,370.1428571
11/02/2021,399,363.2857143
11/03/2021,389,351.8571429
11/04/2021,411,349
11/05/2021,356,346.1428571
11/06/2021,285,345.4285714
11/07/2021,101,345.2857143
11/08/2021,412,336.1428571
11/09/2021,303,322.4285714
11/10/2021,329,313.8571429
11/11/2021,265,293
11/12/2021,364,294.1428571
11/13/2021,265,291.2857143
11/14/2021,86,289.1428571
11/15/2021,431,291.8571429
11/16/2021,371,301.5714286
11/17/2021,281,294.7142857
11/18/2021,273,295.8571429
11/19/2021,263,281.4285714
11/20/2021,201,272.2857143
11/21/2021,68,269.7142857
11/22/2021,317,253.4285714
11/23/2021,271,239.1428571
11/24/2021,285,239.7142857
11/25/2021,52,208.1428571
11/26/2021,270,209.1428571
11/27/2021,263,218
11/28/2021,117,225
11/29/2021,472,247.1428571
11/30/2021,374,261.8571429
12/01/2021,347,270.7142857
12/02/2021,364,315.2857143
12/03/2021,304,320.1428571
12/04/2021,192,310
12/05/2021,97,307.1428571
12/06/2021,385,294.7142857
12/07/2021,294,283.2857143
12/08/2021,352,284
12/09/2021,298,274.5714286
12/10/2021,347,280.7142857
12/11/2021,286,294.1428571
12/12/2021,134,299.4285714
12/13/2021,620,333
12/14/2021,700,391
12/15/2021,899,469.1428571
12/16/2021,906,556
12/17/2021,1072,659.5714286
12/18/2021,969,757.1428571
12/19/2021,533,814.1428571
12/20/2021,2296,1053.571429
12/21/2021,2584,1322.714286
12/22/2021,2900,1608.571429
12/23/2021,3081,1919.285714
12/24/2021,2359,2103.142857
12/25/2021,372,2017.857143
12/26/2021,562,2022
12/27/2021,2092,1992.857143
12/28/2021,3657,2146.142857
12/29/2021,5364,2498.142857
12/30/2021,3470,2553.714286
12/31/2021,3454,2710.142857
01/01/2022,1151,2821.428571
01/02/2022,1723,2987.285714
01/03/2022,7105,3703.428571
01/04/2022,8416,4383.285714
01/05/2022,7919,4748.285714
01/06/2022,7462,5318.571429
01/07/2022,6940,5816.571429
01/08/2022,4691,6322.285714
01/09/2022,2226,6394.142857
01/10/2022,7813,6495.285714
01/11/2022,6855,6272.285714
01/12/2022,6400,6055.285714
01/13/2022,6240,5880.714286
01/14/2022,5697,5703.142857
01/15/2022,3763,5570.571429
01/16/2022,1209,5425.285714
01/17/2022,4681,4977.857143
01/18/2022,5586,4796.571429
01/19/2022,4731,4558.142857
01/20/2022,4860,4361
01/21/2022,3874,4100.571429
01/22/2022,2823,3966.285714
01/23/2022,1138,3956.142857
01/24/2022,3794,3829.428571
01/25/2022,3186,3486.571429
01/26/2022,2765,3205.714286
01/27/2022,2397,2853.857143
01/28/2022,2040,2591.857143
01/29/2022,1303,2374.714286
01/30/2022,588,2296.142857
01/31/2022,2505,2112
02/01/2022,1835,1919
02/02/2022,1481,1735.571429
02/03/2022,1347,1585.571429
02/04/2022,1247,1472.285714
02/05/2022,958,1423
