https://kingcounty.gov/depts/health/covid-19/data/summary-dashboard.aspx,,
date,hospitalizations,7-day average
2022-02-23,12,10.14285714
2022-02-22,10,9.571428571
2022-02-21,11,9.714285714
2022-02-20,11,11.14285714
2022-02-19,5,10.71428571
2022-02-18,10,11.85714286
2022-02-17,12,12.42857143
2022-02-16,8,12.57142857
2022-02-15,11,12.85714286
2022-02-14,21,12.85714286
2022-02-13,8,14.42857143
2022-02-12,13,15.71428571
2022-02-11,14,15.85714286
2022-02-10,13,17.42857143
2022-02-09,10,18.42857143
2022-02-08,11,20.71428571
2022-02-07,32,22.57142857
2022-02-06,17,23.28571429
2022-02-05,14,24.42857143
2022-02-04,25,26.71428571
2022-02-03,20,29.57142857
2022-02-02,26,32
2022-02-01,24,33.14285714
2022-01-31,37,35.85714286
2022-01-30,25,36.28571429
2022-01-29,30,36.85714286
2022-01-28,45,37
2022-01-27,37,36.71428571
2022-01-26,34,39.42857143
2022-01-25,43,41.14285714
2022-01-24,40,42.71428571
2022-01-23,29,45.14285714
2022-01-22,31,49
2022-01-21,43,50.14285714
2022-01-20,56,51.85714286
2022-01-19,46,51.28571429
2022-01-18,54,53.14285714
2022-01-17,57,54.71428571
2022-01-16,56,55.85714286
2022-01-15,39,56.42857143
2022-01-14,55,57.57142857
2022-01-13,52,58.85714286
2022-01-12,59,60.42857143
2022-01-11,65,60.42857143
2022-01-10,65,59.71428571
2022-01-09,60,58.14285714
2022-01-08,47,54.85714286
2022-01-07,64,53.85714286
2022-01-06,63,49.42857143
2022-01-05,59,45.71428571
2022-01-04,60,41.85714286
2022-01-03,54,37
2022-01-02,37,32.57142857
2022-01-01,40,30.14285714
2021-12-31,33,27.14285714
2021-12-30,37,25.71428571
2021-12-29,32,23
2021-12-28,26,21.28571429
2021-12-27,23,20.42857143
2021-12-26,20,19
2021-12-25,19,18.14285714
2021-12-24,23,17.28571429
2021-12-23,18,15
2021-12-22,20,13.85714286
2021-12-21,20,12.57142857
2021-12-20,13,11.57142857
2021-12-19,14,10.85714286
2021-12-18,13,9.857142857
2021-12-17,7,8.714285714
2021-12-16,10,8.714285714
2021-12-15,11,8.142857143
2021-12-14,13,7.857142857
2021-12-13,8,7.571428571
2021-12-12,7,7.857142857
2021-12-11,5,8.142857143
2021-12-10,7,8.142857143
2021-12-09,6,8.142857143
2021-12-08,9,8.428571429
2021-12-07,11,8.285714286
2021-12-06,10,8
2021-12-05,9,7.857142857
2021-12-04,5,7.714285714
2021-12-03,7,8.428571429
2021-12-02,8,8.571428571
2021-12-01,8,8.142857143
2021-11-30,9,8.571428571
2021-11-29,9,8.142857143
2021-11-28,8,8.142857143
2021-11-27,10,7.714285714
2021-11-26,8,6.857142857
2021-11-25,5,7.428571429
2021-11-24,11,8.142857143
2021-11-23,6,7.714285714
2021-11-22,9,8.714285714
2021-11-21,5,8.571428571
2021-11-20,4,9.857142857
2021-11-19,12,10.28571429
2021-11-18,10,12
2021-11-17,8,12.14285714
2021-11-16,13,13.28571429
2021-11-15,8,13.28571429
2021-11-14,14,15
2021-11-13,7,14.42857143
2021-11-12,24,15.42857143
2021-11-11,11,14
2021-11-10,16,14
2021-11-09,13,13.42857143
2021-11-08,20,13.85714286
2021-11-07,10,13.14285714
2021-11-06,14,12.71428571
2021-11-05,14,12.42857143
2021-11-04,11,12.14285714
2021-11-03,12,12.42857143
2021-11-02,16,13
2021-11-01,15,12.85714286
2021-10-31,7,13
2021-10-30,12,13.57142857
2021-10-29,12,12.85714286
2021-10-28,13,13.14285714
2021-10-27,16,12.85714286
2021-10-26,15,12.28571429
2021-10-25,16,12
2021-10-24,11,11.85714286
2021-10-23,7,12
2021-10-22,14,13
2021-10-21,11,12.85714286
2021-10-20,12,13.42857143
2021-10-19,13,13.14285714
